Title,Price,Price_in_PKR,Area,Area_in_Sqft,City,Sub_Location,Location,Full_Location,Bedrooms,Bathrooms,Property_Type,Built_Year,Parking_Spaces,Servant_Quarters,Store_Rooms,Kitchens,Drawing_Rooms,Dining_Rooms,Study_Rooms,Prayer_Rooms,Powder_Rooms,Lounge_or_Sitting_Rooms,Laundry_Rooms,Floors,Furnished,URL
"HEIGHTED CUTTING STREET 10 MARLA E-12/2, E-12, Islamabad ID53626156 - Zameen.com",PKR 3.55 Crore,35500000,10 Marla,2722.5,Islamabad,E-12/2,"E-12/2, E-12, Islamabad","E-12/2, E-12, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/e_12_e-12_2_heighted_cutting_street_10_marla-53626156-8178-2.html
"FRONT OPEN PLOT C-15, Islamabad ID53534407 - Zameen.com",PKR 2.9 Crore,29000000,1 Kanal,5445.0,Islamabad,C-15,"C-15, Islamabad","C-15, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/islamabad_c-15_front_open_plot-53534407-8915-2.html
"70FT ROAD PLOT BACK OPEN C-15, Islamabad ID54094386 - Zameen.com",PKR 3 Crore,30000000,1 Kanal,5445.0,Islamabad,C-15,"C-15, Islamabad","C-15, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/islamabad_c-15_70ft_road_plot_back_open-54094386-8915-2.html
"Corner Brand New House For Sale In D 12 D-12/1, D-12, Islamabad ID52932983 - Zameen.com",PKR 13 Crore,130000000,10 Marla,2722.5,Islamabad,D-12/1,"D-12/1, D-12, Islamabad","D-12/1, D-12, Islamabad",5,5,House,2024,2,0,1,2,1,1,0,0,1,1,0,2,0,https://www.zameen.com/Property/d_12_d-12_1_corner_brand_new_house_for_sale_in_d_12-52932983-3154-1.html
"INVESTOR PRICE IN C16/2 C-16, Islamabad ID54229608 - Zameen.com",PKR 2.4 Crore,24000000,1 Kanal,5445.0,Islamabad,C-16,"C-16, Islamabad","C-16, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/islamabad_c-16_investor_price_in_c16_2-54229608-8913-2.html
"70FT ROAD PLOT FACING 50X90 PLOTS D-12/2, D-12, Islamabad ID53087955 - Zameen.com",PKR 8.35 Crore,83500000,14 Marla,3811.5,Islamabad,D-12/2,"D-12/2, D-12, Islamabad","D-12/2, D-12, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/d_12_d-12_2_70ft_road_plot_facing_50x90_plots-53087955-3155-2.html
"40 FEET STREET CUTTING AREA PLOT FOR SALE C-15, Islamabad ID51799653 - Zameen.com",PKR 2.8 Crore,28000000,1 Kanal,5445.0,Islamabad,C-15,"C-15, Islamabad","C-15, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/islamabad_c-15_40_feet_street_cutting_area_plot_for_sale-51799653-8915-2.html
"MAIN DOUBLE ROAD PLOT FOR SALE C-15, Islamabad ID53597893 - Zameen.com",PKR 3.5 Crore,35000000,1 Kanal,5445.0,Islamabad,C-15,"C-15, Islamabad","C-15, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/islamabad_c-15_main_double_road_plot_for_sale-53597893-8915-2.html
"CORNER 14 MARLA AT INVESTOR PRICE E-12, Islamabad ID53580410 - Zameen.com",PKR 4 Crore,40000000,14 Marla,3811.5,Islamabad,E-12,"E-12, Islamabad","E-12, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/islamabad_e-12_corner_14_marla_at_investor_price-53580410-161-2.html
"CUTTING AREA, HEIGHTED STREET TOP LOCATION IN C16/3 C-16, Islamabad ID53857572 - Zameen.com",PKR 3.25 Crore,32500000,1 Kanal,5445.0,Islamabad,C-16,"C-16, Islamabad","C-16, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/islamabad_c-16_cutting_area_heighted_street_top_location_in_c16_3-53857572-8913-2.html
"40 FEET STREET CUTTING AREA PLOT FOR SALE C-15, Islamabad ID53857570 - Zameen.com",PKR 2.8 Crore,28000000,1 Kanal,5445.0,Islamabad,C-15,"C-15, Islamabad","C-15, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/islamabad_c-15_40_feet_street_cutting_area_plot_for_sale-53857570-8915-2.html
"TOP LOCATION PLOT NEAR MARGALLA ROAD C-14, Islamabad ID53691019 - Zameen.com",PKR 6.45 Crore,64500000,1 Kanal,5445.0,Islamabad,C-14,"C-14, Islamabad","C-14, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/islamabad_c-14_top_location_plot_near_margalla_road-53691019-11367-2.html
"CUTTING AREA, HEIGHTED STREET TOP LOCATION IN C16/3 C-16, Islamabad ID53597864 - Zameen.com",PKR 3.25 Crore,32500000,1 Kanal,5445.0,Islamabad,C-16,"C-16, Islamabad","C-16, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/islamabad_c-16_cutting_area_heighted_street_top_location_in_c16_3-53597864-8913-2.html
"INVESTOR RATE PLOT IN C-16 C-16, Islamabad ID50940596 - Zameen.com",PKR 1.98 Crore,19800000,1 Kanal,5445.0,Islamabad,C-16,"C-16, Islamabad","C-16, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/islamabad_c-16_investor_rate_plot_in_c-16-50940596-8913-2.html
"INVESTOR PRICE PLOT IN 600 SERIES E-12/1, E-12, Islamabad ID50953795 - Zameen.com",PKR 1.28 Crore,12800000,4.4 Marla,1197.9,Islamabad,E-12/1,"E-12/1, E-12, Islamabad","E-12/1, E-12, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/e_12_e-12_1_investor_price_plot_in_600_series-50953795-8177-2.html
"PROPER CORNER 500SQYD AT REASONABLE PRICE D-12/4, D-12, Islamabad ID51346019 - Zameen.com",PKR 13 Crore,130000000,1 Kanal,5445.0,Islamabad,D-12/4,"D-12/4, D-12, Islamabad","D-12/4, D-12, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/d_12_d-12_4_proper_corner_500sqyd_at_reasonable_price-51346019-3157-2.html
"10 MARLA PARK STREET IN CUTTING AREA E-12/2, E-12, Islamabad ID51799184 - Zameen.com",PKR 3.5 Crore,35000000,10 Marla,2722.5,Islamabad,E-12/2,"E-12/2, E-12, Islamabad","E-12/2, E-12, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/e_12_e-12_2_10_marla_park_street_in_cutting_area-51799184-8178-2.html
"CORNER WITH EXTRA LAND C-16, Islamabad ID53436873 - Zameen.com",PKR 2.5 Crore,25000000,1 Kanal,5445.0,Islamabad,C-16,"C-16, Islamabad","C-16, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/islamabad_c-16_corner_with_extra_land-53436873-8913-2.html
"INVESTOR ALERT PLOT C-16, Islamabad ID53436880 - Zameen.com",PKR 2.55 Crore,25500000,1 Kanal,5445.0,Islamabad,C-16,"C-16, Islamabad","C-16, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/islamabad_c-16_investor_alert_plot-53436880-8913-2.html
"1 KANAL SUN FACE HEIGHTED PLOT FOR SALE C-16, Islamabad ID53436882 - Zameen.com",PKR 3.2 Crore,32000000,1 Kanal,5445.0,Islamabad,C-16,"C-16, Islamabad","C-16, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/islamabad_c-16_1_kanal_sun_face_heighted_plot_for_sale-53436882-8913-2.html
"14 MARLA AT INVESTOR PRICE D-12/2, D-12, Islamabad ID53460379 - Zameen.com",PKR 6.75 Crore,67500000,14 Marla,3811.5,Islamabad,D-12/2,"D-12/2, D-12, Islamabad","D-12/2, D-12, Islamabad",,,Residential Plot,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/d_12_d-12_2_14_marla_at_investor_price-53460379-3155-2.html
